LI09.1;3;4.;;
LI09.2;;;;
LI10.1;;;;
LI10.2;;;;
LI11.1;;;;
LI11.2;;;;
LI12.1;;;;
LI12.2;;;;
LI13.1;4;2.;;
MAA02.1;8;1.;;
MAA02.2;8;1.;;
MAA02.3;4;2.;;
MAA02.4;4;2.;;
MAA03.1;4;2.;;
MAA03.2;4;2.;;
MAA03.3;3;3.;;
MAA03.4;3;3.;;
MAA04.1;3;3.;;
MAA04.2;3;3.;;
MAA04.3;7;4.;;
MAA04.4;7;4.;;
MAA05.1;7;4.;;
MAA05.2;7;4.;;
MAA05.3;3;5.;;
MAA05.4;2;5.;;
MAA06.1;2;1.;;
MAA06.2;3;1.;;
MAA06.3;4;1.;;
MAA06.4;5;1.;;
MAA06.5;6;5.;;
MAA06.6;4;5.;;
MAA07.1;6;2.;;
MAA07.2;7;2.;;
MAA07.3;5;2.;;
MAA07.4;1;2.;;
MAA08.1;1;3.;;
MAA08.2;2;3.;;
MAA08.3;4;3.;;
MAA08.4;6;3.;;
MAA09.1;2;4.;;
MAA09.2;3;4.;;
MAA09.3;4;4.;;
MAA09.4;5;4.;;
MAA10.1;1;5.;;
MAA10.2;2;5.;;
MAA10.3;3;5.;;
MAA10.4;4;5.;;
MAA11.1;1;1.;;
MAA11.2;5;2.;;
MAA11.3;7;5.;;
MAA12.1;2;1.;;
MAA12.2;4;1.;;
MAA12.3;1;2.;;
MAA12.4;7;5.;;
MAA13.1;4;2.;;
MAA13.2;6;2.;;
MAA13.3;1;3.;;
MAA14.1;4;3.;;
MAA14.2;6;3.;;
MAA14.3;5;3.;;
MAA18.1;6;2.;;
MAA18.2;2;5;4.;jakso
MAA21.1;7;1.;;
MAA21.2;3;5.;;
MAB02.1;7;4.;;
MAB03.1;2;5.;;
MAB04.1;6;1.;;
MAB05.1;5;4.;;
MAB06.1;7;1.;;
MAB06.2;3;5.;;
MAB07.1;3;2.;;
MAB08.1;6;2.;;
MAB10.1;4;3.;;
MAB18.1;5;2;4.;jakso
MAY01.1;1;1.;;
MAY01.2;1;1.;;
MAY01.3;1;1.;;
MAY01.4;1;1.;;
MU01.1;4;1.;;
MU01.2;4;1.;;
MU01.3;1;5;jakso;
MU01.4;1;5;jakso;
MU02.1;6;3.;;
MU02.2;2;4.;jakso;
MU05.1;7;3.;;
MU06.1;6;4.;jakso;
Muu1.1;1;1.;;
Muu1.2;2;1.;;
Muu1.3;3;1.;;
Muu1.4;4;1.;;
Muu1.5;5;1.;;
Muu1.6;6;1.;;
Muu1.7;7;1.;;
Muu1.8;;;;
Muu2.1;1;2.;;
Muu2.2;2;2;;
Muu2.3;3;2;;
Muu2.4;4;2;;
Muu2.5;5;2;;
Muu2.6;6;2;;
Muu2.7;7;2;;
Muu2.8;;;;
Muu3.1;1;3.;;
Muu3.2;2;3.;;
Muu3.3;3;3.;;
Muu3.4;4;3.;;
Muu3.5;5;3.;;
Muu3.6;6;3.;;
Muu3.7;7;3.;;
Muu3.8;;;;
Muu4.1;1;4.;;
Muu4.2;2;4.;;
Muu4.3;3;4.;;
Muu4.4;4;4.;;
Muu4.5;5;4.;;
Muu4.6;6;4.;;
Muu4.7;7;4.;;
Muu4.8;;;;
